Table Name,Column Name,Data Type,Constraints
advisor,i_id,character varying,advisor_i_id_fkey
advisor,s_id,character varying,advisor_s_id_fkey, advisor_pkey
classroom,building,character varying,classroom_pkey
classroom,capacity,numeric,None
classroom,room_number,character varying,classroom_pkey
course,course_id,character varying,course_pkey
course,credits,numeric,None
course,dept_name,character varying,course_dept_name_fkey
course,title,character varying,None
department,budget,numeric,None
department,building,character varying,None
department,dept_name,character varying,department_pkey
instructor,dept_name,character varying,instructor_dept_name_fkey
instructor,id,character varying,instructor_pkey
instructor,name,character varying,None
instructor,salary,numeric,None
prereq,course_id,character varying,prereq_pkey, prereq_course_id_fkey
prereq,prereq_id,character varying,prereq_prereq_id_fkey, prereq_pkey
section,building,character varying,section_building_room_number_fkey
section,course_id,character varying,section_pkey, section_course_id_fkey
section,room_number,character varying,section_building_room_number_fkey
section,sec_id,character varying,section_pkey
section,semester,character varying,section_pkey
section,time_slot_id,character varying,None
section,year,numeric,section_pkey
student,dept_name,character varying,student_dept_name_fkey
student,id,character varying,student_pkey
student,name,character varying,None
student,tot_cred,numeric,None
takes,course_id,character varying,takes_course_id_sec_id_semester_year_fkey, takes_pkey
takes,grade,character varying,None
takes,id,character varying,takes_id_fkey, takes_pkey
takes,sec_id,character varying,takes_course_id_sec_id_semester_year_fkey, takes_pkey
takes,semester,character varying,takes_pkey, takes_course_id_sec_id_semester_year_fkey
takes,year,numeric,takes_course_id_sec_id_semester_year_fkey, takes_pkey
teaches,course_id,character varying,teaches_course_id_sec_id_semester_year_fkey, teaches_pkey
teaches,id,character varying,teaches_id_fkey, teaches_pkey
teaches,sec_id,character varying,teaches_pkey, teaches_course_id_sec_id_semester_year_fkey
teaches,semester,character varying,teaches_course_id_sec_id_semester_year_fkey, teaches_pkey
teaches,year,numeric,teaches_pkey, teaches_course_id_sec_id_semester_year_fkey
time_slot,day,character varying,time_slot_pkey
time_slot,end_hr,numeric,None
time_slot,end_min,numeric,None
time_slot,start_hr,numeric,time_slot_pkey
time_slot,start_min,numeric,time_slot_pkey
time_slot,time_slot_id,character varying,time_slot_pkey
